id,text,n_tokens
c_cb8e1c4ea72c,efek hujan deras banjir di pasar driyorejo setinggi ban motor banyak kendaraan r2 mogok ati-ati guys yang akan melintas daerah sini,21
c_146a09e28073,banjir di sentani kabupaten jayapura,5
c_e59165f198f6,banjir bandang di sentani papua jembatan putus rumah mobil hanyut terbawa arus banyak jiwa terjebak dalam rumah sudah ada korban jiwa terbawa arus adek kecil ini hanyut bisa diselamatkan tuhan tolong,31
c_e70fa1b462ff,banjir bandang di sentani papua info sementara yang beredar : jembatan tahara putus jembatan doyo putus jembatan kemiri putus & rumah2 hancur,22
c_a44eb457b926,banjir bandang terjang 9 kelurahan di sentani kabupaten jayapura evakuasi dan pendataan masih dilakukan data sementara 3 orang meninggal dunia kerusakan meliputi 9 unit rumah warga hanyut 1 unit mobil hanyut 3 jembatan rusakdan kerusakan lainnya,36
c_a043efdb1de8,anak hanyut terbawa banjir bandang di kabupaten jayapura sentani papua,10
c_bfb9ecc34488,banjir landa sentani kabupaten jayapura papua banjir di gunung merah membawa debit banjir dan kayu-kayu hati-hati bahaya kesetrum listrik jangan memegang tiang listrik dalam basah atau perabotan rumah yang masih menyala dan terendam banjir semoga korban tidak bertambah,38
c_6b1e7f610603,hujan deras yang mengguyur daerah jayapura telah menyebabkan banjir bandang di kecamatan sentani kabupaten jayapura provinsi papua pada sabtu 16/3/2019 pukul 0:21:30 wit hujan deras turun sejak pukul 0:18 wit,30
c_a0c96d2ad55d,semoga kondisi wilayah yang dikena banjir bandang di japura cepat pulih,11
c_0a0ae5a31078,hujan sejak menjelang maghrib akhirnya pilih tidur cepat semalam terbangun jam setengah 1 malam lihat postingan kawan2 di grup wamengenai banjir bandang di sentani kabupaten jayapura innalillahiturut berbelasungkawadan semoga cepat teratasi,31
c_2ae5c01eea3d,mantaps ! ! bang sandi sampaikan belasungkawa untuk korban di christchurch banjir di papua dan gempa di ntb ajak istghfar dan berdoa,22
c_6aabe933d57d,masa bodo sama debat yang ada kata pres pres nya itu saudaraku yang di jogja selatan sedang kebanjiran sentani - jayapura juga banjir bandang lombok terkena gempa ( lagi ) stay safe saudaraku semua lokasi foto di bantul area,39
c_cdffdc5c4323,luapan banjir di pantai baron sudah mencapai lutut orang dewasa,10
c_e02ca7b18199,gerakan nasi bungkus untuk terdampak banjir bantul 17 maret 2019 mohon bisa dikumpulkan nasi bungkus dan lauk pagi sebelum jam 0:06:30 wib di masjid jogokariyan jogja karena akan dipakai u/ sarapan korban-korban yang terdampak banjir -relawan masjid indonesia cp : edo <PHONE>,42
c_13506dd5e5ca,dukamu adalah duka kita semua turut berbela sungkawa untuk para korban bencana banjir yang terjadi di sentani jayapura dan sekitarnya,20
c_71db447b374d,beberapa lokasi titik banjir di wilayah kabupaten bantul dampak hujan tanggal 17/3/19,12
c_0df8cece4a6a,update pukul 0:21 wib beberapa lokasi titik banjir di wilayah kabupaten bantul dampak hujan tanggal 17/3/19,16
c_728156987859,kalian terlalu sibuk dengan sehingga kalian lupa akan bencana banjir yang mengepung saudara kita di imogiri bantul yogyakarta !,19
c_f25f16b71e7b,saya mengucapkan belasungkawa turut berduka cita sedalam-dalamnya atas terjadinya musibah banjir bandang di sentani kabupaten jayapura yang sudah menelan banyak korban lalu gempa di ntb dan juga aksi terorisme yang memakan banyak korban jiwa di beberapa masjid di christcurch,39
c_f6b53173936f,dari foto udara kelihatan sumber banjir bandang di sentani,9
c_64ffdad1bcff,banjir bandang di sentani dan dugaan penebangan hutan ilegal lewat,10
c_01f3753c7d01,dengan ini kami atas kepedulian kami terhadap bencana banjir bantul kami membuka open donasi pengumpulan donasi dilakukan hari ini di taman kuliner concat pukul <PHONE> dan akan disalurkan esok hari tanggal 19 maret 2019,34
c_59f1b76e15df,curah hujan pada akhir pekan lalu membuat dua wilayah indonesia yakni sentani papua dan yogyakarta jateng dilanda banjir dan juga longsor di kawasan sentani sendiri tercatat sudah ada 72 orang meninggal akibat bencana ini tonton selengkapnya di video ini,39
c_80da7d27dc81,orang kena kanker ibu-ibu pula di-hoax-in sama kubu rezim bapak2 kena banjir di makassar di-hoax-in juga petani bawang di-hoax-in juga dari junjungan sampai jinjingan begitu fasih menebar hoaxdari ham sampai ibu-ibu kena kanker terus mendaulat sebagai penjaga nkri ( `` ),41
c_93778f0ca1ca,komunitas pecandu buku turut berduka cita atas banjir yang menimpa sentani dan jogja serta gempa bumi di lombok,18
c_d5ed4161f020,turut berduka mari berdoa untuk saudara-saudara kita yang terkena bencana dan banjir bandang di lombok timur ntb bantul dan sentani papua kuatkanlah saudara-saudaraku yang terdampak bencana ini ya allah,29
c_2c40dc1c6622,segenap keluarga besar adhi mengucapkan turut berduka atas jatuhnya korban dalam bencana banjir bandang semoga saudara-saudara kita di papua diberi kekuatan kesabaran dan selalu dilindungi tuhan yang maha kuasa,29
c_d970f519a8b7,korban banjir di sentani papua bertambah jadi 82 orang,9
c_cfe4e0e2b851,[ mari peduli ] environmental disaster management upn v yk mengajak anda untuk sama sama membantu saudara-saudara kita yang menjadi korban banjir di daerah bantul yogyakarta akibat hujan lebat pada 17 maret 2019 donasi dapat disalurkan melalui rekening :,39
c_e1457c499fef,duka mendalam untuk bencana banjir longsor dan gempa yang sedang menimpa saudara-saudara kita di jayapura lombok dan yogyakarta semoga yang terbaik untuk keadaan darurat saat ini,26
c_972a19a9544a,segenap pimpinan dan sivitas akademika mengucapkan turut berduka cita untuk saudara - saudara kita yang tertimpa musibah banjir bandang di sentani papua,22
c_2f802dbe85ab,~ sedekah dengan memanen air hujan untuk mencegah banjir oleh : ahmad bahruddin * jika anda melihat ada genangan air di halaman rumah saya ( desa kalibening tingkir salatiga ) maka,31
c_cba237784894,di tengah debat beliau sampaikan berduka cita banjir bandang di jayapura gempa di ntb aksi terorisme di new zealand tanda beliau tunjukkan kehadiran ditengah orang yang berduka & butuh perhatian ok mbah yai no komen,35
c_1ccf9e0396b7,halo dinsanak aku gina adilla ndik umpat merayakan hari meteorologi dunia ke-69 ayo begerak boleh sering banjir deh nih sayangi bumi etam jangan lupa update info cuaca di bmkg deh itu maha terima kasih yooo,35
c_a3165b7b7731,segenap tim bandung football turut berbelasungkawa terhadap para korban banjir bandang di sekitar jayapura yang jumlahnya terus bertambah hingga hari ini stay strong jayapura !,25
c_149ab8237022,bagi teman-teman yang ingin mendonasikan uang maupun barang kepada korban bencana banjir bandang serta tanah longsor di sentani & kota jayapura silakan hubungi sdr agung ( <PHONE> ),28
c_15009aa6d3c1,segenap direksi komisaris dan karyawan pt antam tbk turut berduka cita atas musibah banjir bandang dan tanah longsor di jayapura papua yang terjadi pada hari sabtu 16 maret 2019,29
c_336b94004a8b,hampir 9000 jiwa mengungsi akibat banjir di yogya dan jateng,10
c_c229ad950160,banjir besar di sentani apakah ini efek penebangan hutan untuk infrastrutur jalan tol papua yang digembar-gemborkan itu ? jangan menutup mata loh apalagi kalau nalarnya mati,26
c_0e0143dd3a76,video : banjir kiriman rendam satu kecamatan di yogyakarta,9
c_495a982f5c13,sahabat2 banser kecamatan pleret yang dikomandoi ndan turut membantu warga terdampak banjir di daerah bantul semoga kita semua selalu dalam lindungannya cc,22
c_b33666504fd1,posko menangkan pancasila galang solidaritas untuk korban banjir dan longsor di jayapura - via,14
c_80335a67c18c,2 tanggul terbuat dari tanah atau beton dan seringkali dibangun sejajar badan sungai atau pantai * tanggul biasanya dibuat untuk mencegah banjir di dataran yang dilindunginya,26
c_a945b73e4b2c,banjir bandang di sentani tercatat 79 korban meninggal dan 43 hilang ayo ikutan bantu dana buat korban sentani retweet ya biar banyak yang ikutan,24
c_0c7086bf8dad,wah jadi banyak yang menonton teman teman yang menonton mohon doanya supaya kabupaten dan kota jayapura cepat pulih dan bangkit dari kerusakan akibat banjir bandang paling parah di kabupaten jayapura sih terimakasih yang sudah mendoakan dan memberikan donasi,38
c_28bf8a7d5e05,penemuan beberapa ikan hiu oleh warga btn sosial sentani pasca banjir akhirnya memunculkan pembahasan soal hiu sentani peneliti senior dari balai arkeologi papua hari suroto pun menjelaskan asal usul hiu sentani tersebut simak informasinya di sini,36
c_73bbb03e7b23,pasoepati peduli banjir & longsor bantul gunung kidul purworejo donasi bisa di salurkan di sekretariat pasoepati jalan ahmad yani no 81 banjarsari ( depan pamel ) periode penggalangan dana 21-25 maret 2019,32
c_fcdf28898ead,kita semua berduka atas musibah banjir di sentani semoga para korban mendapatkan tempat terbaik di sisi-nya dan keluarga yang ditinggalkan diberi ketabahan atas musibah ini mari kita berdoa saudara2 kita yang masih hilang segera diketemukan,35
c_44e4bdbc2def,teman-teman jumlah pengungsi bencana banjir bandang sentani kabarnya sudah mencapi angka 4728 orang di kabupaten jayapura mereka masih butuh bantuan dari kita yuk kita bantu donasi bantu doa dan bantu sebarin juga : '' ),35
c_8a4a89a743d2,teman-teman mari bantu donasi atau sebarkan info ini untuk saudara2 kita korban banjir bandang di papua lewat,17
c_fe61f440f95c,data korban banjir bandang sentani s/d pagi ini ( kamis 21/3/2019 ) meninggal dunia : 109 orang luka berat : 107 orang luka ringan : 808 orang hilang : 93 orang jml pengungsi : 11131 orang ( 2552 kk ) tersebar di 30 titik pengungsian,45
c_ed97f7fe91a7,pengungsi banjir bandang di sentani terus bertambah tercatat saat ini mencapai 9691 orang pemprov papua pun berencana untuk merelokasi warga yang tinggal di kawasan cagar alam cycloops ke sejumlah daerah di jayapura-wamena baca informasinya di sini,36
c_a15166472b40,yang di pikirin pas tbtb turun hujan : - jalanan macet - banjir - basah kuyup - kenangan - baju favorit yang seminggu di pakai 8 kali belum di angkat,30
c_baf173ef0304,sebaiknya pak jokowi menata hati dulu dengan mengunjungi saudara kita yang jadi korban banjir bandang di sentani saya lihat di tv bapak menampak gugup dan panik kunjungi rakyat bapak yang sedang susah mudah-mudahan sepulang dari sana bisa membedakan hoak dan terorisme,41
c_1398d6b0ea8a,twitter tolong keluarkan aji ajian mu ! mau jual buku istri gue ini untuk bantu para korban banjir bandang di jayapura hasil penjualan akan disumbangkan melalui harga 50rb ( belum ongkir ) semoga teman-teman bisa ikut partisipasi ya tulung bantu sebarkan,41
c_f888c2af6d0f,wah aku banjir di tempat tepat di depan tempat jualan tempe mendoan posisi aku masih mengantri belum bayar aku menangis kejer banget wkwk untung ada teman aku nemenin ( dia panik wkwk ) sampai mas2 jualannya bingung drtd nanyain tempenya mau dipotong2 apa gede2 tapi belum aku jawab,48
c_06f33c44f968,pks ini bagus soal kepedulian sosial terhadap korban banjir bandang tetapi secara struktural kurang vokal soal konservasi lingkungan hidup di hulu '' saya harus lebih banyak bersuara saya pks,29
c_d039f76693f4,prajurit yonif 751 selamatkan sepasang lansia terkepung banjir di muara via,11
c_ee42456bc77d,aksi solidaritas kota sorong papua barat untuk korban banjir di jayapura papua,12
c_ab6509c7b0f3,innsya allah swt 20 % dari hasil dari donasi ini akan kami serahkan untuk korban banjir di sentani,18
c_1679d1b425ca,area sekitaran cibubur jaktim bisa drop donasi bantuan banjir di anjungan papua tmii atau di jaksel ke kantor penghubung provinsi papua di jalan suryo no60,25
c_b249ee47da62,bulog siapkan 100 ton beras untuk korban banjir di jayapura,10
c_b002d36d3f70,jalan tol banjir ? salah siapa ? ada apa di balik pembangunan jalan tol kita ?,16
c_ca7d98a2dda4,ini penyebab banjir bandang di jayapura hasil analisa lapan,9
c_86e312a7e062,nih siapa tau ada yang mau bantu ada saudara2 kita asal papua yang tinggal di bandung lagi mengadakan penggalangan dana buat korban banjir di papua di simpang dago siapa tau mau bantu via tranfer juga bisa keterangannya ada di pict ya,41
c_a373aa45f787,sasaran panti asuhan sayap ibu cabang dan korban banjir imogiri bantul semoga menjadi berkah bagi kita semua dan berguna untuk saudara-saudara kita yang membutuhkan amin sampai jumpa di baksos tahun depan salam satoe hati,34
c_d396d5160b02,tni-polri hadir untuk negeri potret kapolri jenderal polisi prof h muhammad tito karnavian phd dan panglima tni marsekal tni hadi tjahjanto sip bersama anak-anak yang menjadi korban banjir bandang di posko pengungsian gunung merah sentani papua,36
c_5c735255c7b3,saat ini warga terdampak banjir bandang di sentani jayapura tepatnya di kampung yakonde telah mendapatkan penanganan medis dari perawat dan dokter tim nu peduli ayo kita sumbang lewat : bri : <PHONE> mandiri syariah : <PHONE> an pp lazisnu,39
c_3632a3c3bf38,panglima tni tinjau posko pengungsi korban bencana banjir di sentani,10
c_eb50d756b196,sati orang meninggal dunia dan satu luka akibat sepeda motor jatuh dan terseret banjir di kabupaten semarang saat banjir seperti ini apalagi di jalan naik/turun jangan memaksakan diri sangat berbahaya jangan nekat lebih baik istirahat dan tunggu banjir surut,39
c_7926c52f42a4,duka di sentani papua turut berbela sungkawa untuk saudara2 kita yang mengalami musibah banjir bandang di sentani jayapura papua ini adalah duka kita bersama semoga tuhan menguatkan hati warga jayapura untuk menghadapi masalah ini amin,35
c_9ec0d77bac90,dampak banjir bandang sentani papua : 112 orang tewas 107 orang luka berat 808 orang luka ringan 94 orang hilang 16783 jiwa/3876 kakak mengungsi di 33 titik pengungsian dan kerusakan fisik pengungsi masih memerlukan bantuan relokasi akan dilakukan di tempat aman,41
c_3b86f8f06144,fenomena banjir di dataran tinggi di indonesia makin meningkat beberapa faktor penyebab : 1 hujan ekstrem meningkat 2 meningkatnya alih fungsi lahan 3 berkurangnya hutan & kawasan resapan air 4 degradasi sungai 5 terbatasnya drainase 6 dan lainnya,38
c_9100c8f76c36,dirgahayu para pejuang kemanusiaan semoga terus menjadi garda terdepan penanganan bencana di indonesia enggak terbayang sih kalau enggak ada tagana mulai dari gempa di aneh sampai banjir bandang di papua tagana enggak pernah absen sih,35
c_8f2ed0bcf9d5,sepekan sudah banjir di sentani jayapura berlalu hingga saat ini tercatat 113 orang tewas ratusan terluka dan 94 hilang tim emergency response act masih berada di lokasi terdampak dan terus melakukan evakuasi bersama tim gabungan di masa tanggap darurat ini,40
c_2471cc00b0e5,penyaluran bantuan untuk korban bencana banjir dan tanah longsor di imogiri bantul yogyakarta semoga bermanfaat,15
c_544bb436aeeb,kami akan menyumbangkan 100 % keuntungan dari acara ini untuk korban bencana banjir bandang di sentani jayapura silakan beli tiket dan sekaligus membantu saudara-saudara yang tertimpa bencana salam,28
c_4d32ee275762,overflow jadi penyebab banjir bandang di sentani,7
c_3ba50ee16d5d,sekolah mereka tenggelam pasir lihat jarak mereka berdiri dengan atap sekolah mereka setelah banjir bandang di papua ini sekolah mi al-ikhlas doyo bambar distrik waibu jayapura mari bantu mereka melalui nu sidoarjo peduli no rek <PHONE> bank muamalat an lazisnu sidoarjo,41
c_fea899c6a9de,trauma healing korban banjir di imogiri oleh ipm bantul,9
c_376ae43dd4f3,afp memetik organisasi pengurusan krisis iran yang berkata negara berkenaan dilanda banjir yang belum pernah berlaku di 25 daripada 31 wilayahnya,21
c_ee74e6ac2ec4,zaman banjir di unisza semua tnggal kenangan kawan kat sebelah sekarang deh komando deh,14
c_4bfa1f4ca258,radio andika 1516 hati-hati jalur watugede puncu kediri ke arah wates banjir akibat hujan deras yang mengguyur daerah tersebut arus lalu lintas padat info dari pak ery yohan di pare ( ikj/ssi ),33
c_4cff2b842b30,maskapai berbiaya hemat ( lcc ) citilink indonesia bekerja sama dengan palang merah indonesia ( pmi ) merespons bencana banjir yang terjadi di sentani jayapura papua dengan mengangkut,28
c_5cb054620dd3,salah satu kegiatan kemanusian banser banyumas semoga bermanfaat penyerahan bantuan sembako dari banser bagana banyumas untuk saudara kita yang terdampak bencana banjir & longsor di imogiri bantul diy di posko induk nu peduli di yogyakarta,35
c_28225351c7af,bandung banjir lagi banjir lagi banjir di bantaran sungai cikarung bandung selatan setelah hujan selasa malam tadi daerah yang terendam dayeuh kolot bojang soang baleendah bandung selatan,27
c_64cb2026aee0,1 orang kena banjir di makassar di-hoax-in 2 petani bawang di-hoax-in 3 ibu-ibu kena kanker di-hoax-in belum cukup 3 itu sekarang : nenek-nenek pun di-hoax-in kubu rezim enggak suka orang-orang yang terkena musibah mendukung 2 rip nurani kubu rezim ( `` ),42
c_ee82c4bfc7ff,18:00 hujan lebat di garut menyebabkan genangan dan banjir di beberapa titik wargi dan para pengendara dihimbau untuk berhati-hati,19
c_ac1ad6521728,staf pb pmi provinsi papua nelce yohana bemey memberikan bantuan kepada korban banjir bandang di sentani jayapura papua,18
c_fa00d1db846e,resmi di tutup alhamdulillah total donasi bonek peduli banjir bandang & longsor di sentani jayapura baik melalu aksi penggalangan dana via transfer maupun datang langsung ke posko bonek peduli sejumlah rp <PHONE> - matur suwon dulur2,36
c_191396999560,selain aksi one man one doll yaitu pelemparan boneka ke pinggir lapangan untuk disumbangkan kepada anak penderita kanker dan penyakit lainya besok jum'at di gbt juga akan ada aksi penggalangan dana serentak dari semua tribun bagi para korban banjir bandang dan longsor di papua,44
c_f62dc904df49,itu was a reaaaaaaally big mistake watching itu gue aisy sebab i had tapi hide from him actually seeing me cry kalau tak deh banjir the cinema di,28
c_664832ada165,banser membantu membenahi saluran air dan membersihkan rumah penduduk akibat banjir tadi dini hari di kecamatan sukaratu kabupaten tasikmalaya,19
c_f138e5cb2f08,kader memberikan trauma healing kepada anak-anak korban banjir bandang di sentani jayapura bahagia tak hingga melihat para generasi penerus bangsa ini kembali tersenyum dan percaya diri untuk meraih mimpi mereka sentani bangkit !,33
c_0c62216edae0,banjir kilat di pekan buat 14 sekitar longkang di tepi jalan besar menghala ke ampang & restoran habeeb manakala kereta suv terbakar di jalan bukit ampang selepas menara tinjau dari hulu langat ke ampang,34
c_b0acd6fdba7b,malang hari ini matot '' hujan deras hari ini menimbulkan dampak cukup besar di jalanan daerah tengah mengalami macet total akibat banjir kali ini butuh di jero no maneh iki rupane cc pak loc foto : jlletjen sutoyo,38
c_7189c2a681cb,enggak usah saling nyalahkan masalah banjir di mlg ganok enthek e mikir saja piye kedepan e ben enggak terulang garek ngenteni jawaban dan tanggapan dan pak mengenai malang darurat banjir sore tadi,32
c_652308eeb7fe,meminta doa ya untuk saudara kita yang terkena banjir bandang di kutacane aceh tenggara semoga jumat ini penuh pahala untuk kita semua amin,23
c_661d35322d2b,fpi mengirimkan bantuan berupa 200 helai selimut 175 buah alas tidur 300 buah handuk serta obat-obatan bagi korban banjir bandang di sentani papua,23
c_18f1f0a59d50,normalisasi gorong2 lokasi samping toko oli kawi jaya jalan letjen si parman tadi siang lah bagaimana enggak banjir kalau sampah begini banyak di gorong2 tadi saja dapat 1 truck semoga perilaku yang suka buang sampah bisa segera berubah,38
c_21275e87eec2,ini super kereeeeeeeeeeen banjir boneka di pertandingan piala presiden,9
c_cc3a632bb08a,banjir bandang di papua kemarin bandangnya tuh bandang presto apa enggak ya nder ? ? ? ? ? ? ? ? ? ? ? ?,25
c_849021dea473,tinggal dilereng takut longsor tinggal digunung takut meletus tinggal dipesisir takut tsunami tinggal dideket sungai takut banjir pengennya tuh tinggal di hatimu aman,23
c_18b74f5f6f5b,matiin aliran listrik di rumah + enggak menonton debat capres karena mereka enggak mau damai maunya debat melulu terus nyalain lilin di halaman rumah untuk mengenang korban bencana banjir di sentani jayapura,32
c_342523d00aba,dahlan tinjau saluran irigasi dan gorong-gorong tersumbat akibat banjir lumpur di hutabargot,12
c_b6d58e8faeb8,banjir masih saja terjadi di wilayah sentani-kabupaten jayapura ( malam minggu 30 maret 2019 ) apakah pemerintah provinsi papua & kabjayapura masih belum punya langkah strategis untuk meminimalisir surface run off '' ?,33
c_ddc391407030,informasi terbaru masih terjadi banjir di sentani-jayapura bagaimana tindakan penanganan darurat melalui konstruksi sementara '' untuk meminimalisir banjir ?,19
c_f5dc94e0b604,pecah banjir manusia dari gor dalam penuh di luar penuh radius 50meter full manusia sayangnya signal error,17
c_3985ebb67368,banjir di jalan raya kepanjen di depan garasi bus bagong banyak sampah yang keluar dari selokan,16
c_3ffbb2003598,cegah banjir bandang jokowi akan bangun tanggul di sentani,9
c_8cc317808c7a,presiden jokowi kembali mengunjungi papua untuk kesekian kalinya sejak 2014 lalu kali ini untuk mengunjungi para korban banjir bandang yang terjadi di distrik sentani kabupaten jayapura,26
c_6b6652e46967,1700 : hati-hati banjir dan kemacetan di jalan gedebage sebelum spbu ( arah stopan gede bade ) |,18
c_142edf08fa7d,untuk bandung nih terowongan nanjung salah satu bentuk dukungan kemen pupr untuk dan penanggulangan banjir di kota bandung selain itu juga pembangunan embung gedebage dan pembangunan kolam retensi cieunteng,29
c_59bf0428e23f,innalillahi banjir menerjang kawasan permukiman warga dan sekolah di kawasan cijambe ujungberung kota bandung sore ini informasinya tanggul jebol mengakibatkan air meluber video,23
c_f1a3c2bead7e,sore sahabat malam tadi dirjen memberi arahan dan kepala bnpb kepada bppw papua untuk berkolaborasi bersama sipur tni membangun intake air minum di sumber air yang baru ditemukan oleh tim bnpb untuk dapat membantu menyalurkan air di daerah banjir di sentani,41
c_56d3d8da6e99,bandung banjir lagi nantikan kabar utama jam 0:21 wib hanya di tvone & streaming streaming di tvone connect android & ios,21
c_b98b3c6dab0d,tidak lupa kami juga ucapkan terima kasih kepada bapak presiden yang telah menengok para korban bencana banjir bandang di sentani,20
c_3722772f5a9a,[ info banjir terkini ] * 1 macet parah dari pasar kordon buah batu sampai pertigaan bojongsoang dikarenakan banjir di jalur mohtoha dayeuhkolot 2 jalur utama jlraya banjaran -,29
c_7a76767156c8,kalau baca berita banjir di jakarta itu suka ingat ke pak jokowi dulu dia janji kalau dia jadi presiden jakarta enggak bakalan banjir lagi,24
c_ffc06ad5daf2,kami amal kapar dengan kekuatan 4 orang tiba di kuizm untuk tugasan trafik dan keselamatan program malam solidariti palestin kami sampai kami makan dulu tgh makan dapat arahan kecemasan bantuan banjir kilat di serdang jaya kami sekarang bergegas ke sana,40
c_7ca8f344ac1d,saat susah dan dapat cobaan ( seperti banjir dan macet di tana abang ) gunakanlah waktu tersebut untuk mengingat dan berdoa pada sang pencipta pemprov memfasilitasi warga yang ingin lebih banyak berdoa dan istighfar,34
c_1e6bbc471f90,waspadai hujan deras disertai angin kencang petir dan kilat pada musim transisi saat ini awan cumulonimbus tumbuh menjulang menghasilkan hujan deras sesaat ini kondisi banjir di cawang pada 2/4/2019 sekitar 1500 - 0:18 wib banjir segera surut saya ikut terjebak banjir,41
c_4f51ccfe34c9,1530 ini banjir di jalan antara dramaga sampai medika dramaga sepertinya masalah drainase karena beberapa kali ketemu tumpukan sampah,19
c_77aef54c06d3,antisipasi banjir 7 bozem dibangun di surabaya,7
c_5d26d3ceb0b9,[ charity ! ] sekitar 300 rumah terendam banjir cijambe ujung berung pada senin 1 april kemarin selain perumahan warga salah satu kerusakan terparah ditemukan di sekolah sdn ajitunggal cijambe,30
c_c904d099997d,banjir sudah separah ini di jakarta gubernurnya juga masih santun dan masih sabar belum mencuit soal penderitaan warga pertanyaan saya : mengapa jadi tidak sekritis zaman gubernur ? apakah aa sudah lelah ?,33
c_5bbb6286c52d,banjir kembali `` mengganas '' di dompu diperkirakan ratusan rumah warga terendam air dengan ketinggian sekitar 2 meter,18
c_c158d5402323,sama nih baru kali ini selama di pimpin gubernur kafir enggak pernah banjir di pimpin seiman malah banjir woyy balikin gubernur kafir gue,23
c_e880f515d2e9,banjir bandang terjadi di dompu ntb pada tanggal 3 april 2019 hujan lebat dan kerusakan hutan menyebabkan rakyat kecil yang menjadi korban pertama bencana alam,25
c_f255298b5eec,banjir kembali terjang 4 kecamatan di kabupaten bandung,8
c_b9a908bde808,banjir kilat di jalan jelatek setiawangsa guna laluan alternatif,9
c_cb8543ddb0a3,teman-teman sekalian mungkin ada yang mau donasi untuk korban banjir di cijambe ujung berung khususnya untuk sd 106 ajitunggal bisa disimak thread ini ya bantu retweet juga boleh terima kasih,30
c_31f0832da323,banjir di cawang ternyata karena saluran tersumbat lumpur karena pembangunan lrt dan tol becakayu,14
c_023f5d3460fb,banjir di pancoran anies meminta adhie karya bertanggung jawab,9
c_3c5a0dadd78c,sahabat hujan intensitas tinggi yang mengguyur kabupaten jayapura secara terus menerus turun di pegunungan cyclop yang berada di bagian utara kabupaten jayapura sehingga menimbulkan limpasan air yang sangat bsr ke daerah yang bertopografi lebih rendah sehingga terjadi banjir bandang di titik berikut,42
c_7ad915c0cb08,banyak orang berpersepsi buruk terhadap kinerja anies kerna banjir di beberapa wil jakarta mari kita kedepankan prasangka baik : 1 bisa jadi anies belum tahu kalau jakarta banjir 2 anies masih butuh waktu menununggu jawaban air kapan mereka bersedia masuk ke tanah,42
c_6a41080c1b54,mending pak bljar dulu ke bagaimana cara mngatasi banjir jakarta kalau merasa sudah tak sanggup mending mngundurkan diri saja oo iya pak mngingatkan jangan melawan sunatullah air jangan di pompa harus di masukkn lagi ke tanah ok ! ! !,40
c_118afb265a95,pakar tata ruang kota : konservasi tanah resapan kunci atasi banjir di bandung,13
c_69da625588bc,banjir di jalan galunggung tadi sore pas hujan lagi deres2nya,10
c_d664558c8bce,video gubernur jabar ridwan kamil diprotes seorang warga saat meninjau penanganan banjir di kabupaten bandung sabtu ( 6/4 ) menjadi viral warga tersebut melakukan protes karena merasa selama 2 bulan tbanjir belum ada penanganan yang serius ( sumber video : youtube adalah kabbandung ),44
c_aa82dc0c5159,kondisi kota malang ku saat ini : 1 kalo hujan banjir 2 banyak jalan bopeng2 kayak bekas jerawat 3 ambil uang 50k di atm pas lagi bokek2nya selalu jadi 48k 2rb an pula jadinya etdah,35
c_feb1d743b7dd,seorang ulama syiah menggendong ulama sunni dalam peristiwa banjir di zahedan propinsi berpenduduk mayoritas muslim sunni di iran,18
c_63b4aca20c20,penanganan banjir lumpur hari sabtu 6 april 2019 di bon 15 jalan sumberbrantas desa tulungrejo kecamatan bumiaji kota batu tim trc sudah di lokasi kondisi cuaca gerimis sehingga menyebabkan jalan menjadi licin & untuk masyarakat yang akan melalui jalur tersebut dihimbau berhati-hati,42
c_0803077d102a,jombang banjir donat ada no1 dari 8 juta pencarian google untuk kata donat indonesia '' ribuan foto kue tart/ donat ada di ig jombang :,25
c_a84915a3f3d6,jalan sukabirus kecamatan dayeuhkolot banjir belum surut di tambah hujan angin + es,13
c_10658c1d3793,pak gubernurku mohon bantuan dan check lokasi banjir di desa plumbon indramayu akibat luapan kali cimanuk,16
c_1c898bbd9d2c,mungkin admin tempo sudah mengantuk serangan di afganistan terkait banjir di bandung,12
c_954bcc26c8f1,pak anis dimana ? jangan kampanye terus dong urus wargamu bencana banjir ini di indonesia tepatnya daerah parunghalang bandung jawa barat bukan di singapura,24
c_494f494d19b8,-press release- brantas banjir sampah plastic impor bracsip tuntut lima negara pungutin sampah plastik di brantas bracsip ( brantas river coalition tapi stop imported plastic trash ) !,28
c_7ecffeae4f6f,persib bikin menangis korban banjir di bandung,7
c_62ac9be34f57,kondisi warga korban banjir di pagirikan malam ini yang harus tidur ditenda | info dari tim syuja,17
c_fb9cb0a290af,hujan deras banjir di jalanan yang kami lintasi ditambah gemerlap lampu bercampur kabut membuat kami harus berjalan melambat agar selamat sementara temanku terlelap subhanallah apa maksudnya wllh ` lm,29
c_e1d08d9a9a6d,* * * al-bahjah peduli indramayu * * * mari do'akan & bantu saudara-saudara kita korban bencana alam banjir di indramayu salurkan bantuan anda melalui : bank muamalat kode bank : 147 no rek : 1390 123 123 a/n al-bahjah,40
c_4144f820da16,aku tiap tahun di bully karena banjir mungkin karena rumahku di bully endah,13
c_0aaf2db03065,fakta ! ! nih ! ! dulu yang begitu bqngga dengan masuk got kemana orangnya ? hanyut bersama banjir yang masih terjadi dimana2 ? 7ukuwi kampanye di jakarta timur tribun gor ciracas tak penuh,34
c_86eea1152387,8271 unit rumah terendam banjir yang menyebabkan 24813 jiwa terdampak dan 700 jiwa mengungsi di 6 kecamatan di indramayu jawa barat banjir akibat luapan sungai cimanuk sejak 8/4/2019 sebagian sudah surut tanggap darurat ditetapkan 8-22/4/2019,35
